ano,tway,typ,day,rai,loa,odr,alc,wcc,ahc,rsc,hel,xwk,dat,als,jur,fat,inj,acd,bir,bra,sic,sra,alsb,alss,hzd,bus,trm,tow,lat,lon,jct,ocf1,ocf2,ocf3,ocf4,ibus,wzn,wzt,wzl,wpr,bno,tct,unt,cty,rtn,brn,srn,fhe,prc,tim,bdo,pnt,pat,rct,adid,dlr
18585119,3,L,1,0.0,3.0,N,1,1,1,1,5,2,21352.0,INTERSTATE 85,HP03,0.0,0.0,,3,0.0,3,7.0,,,,,,,34574334,82030079,13,,,,,3,1,4.0,2.0,2.0,3223,98,2,42,85.0,129.0,85.0,22,3,1519,0050,1536,1536,1,NO,N
18567842,3,L,6,0.0,4.0,E,1,2,1,1,5,2,21322.0,I 26,HP06,0.0,0.0,C,4,0.0,4,0.0,ASHLEY PHOSPHATE RD,MIDLAND PARK RD,,,,,32552701,80022526,13,,,,,3,2,,,,8730,31,2,10,26.0,75.0,1187.0,22,3,1429,0067,1433,1441,1,NO,W
18660789,2,L,1,0.0,1.0,S,1,1,1,1,5,2,21471.0,S CASHUA DR,HP05,0.0,0.0,,4,0.0,4,0.0,S PARKER DR,,,,,,34101556,79490628,13,,,,,3,2,,,,4576,98,2,21,29.0,473.0,774.0,22,3,800,0001,805,852,4,NO,S
18605827,1,L,3,0.0,1.0,W,1,1,1,1,5,2,21396.0,FLYNN DR,1008,0.0,0.0,,4,0.0,4,0.0,MIMOSA ST,HOLBIRD ST,,,,,32505600,80020582,4,2.0,,,,3,2,,,,0368,41,2,10,1102.0,1246.0,991.0,22,1,1710,0010,1711,1717,4,NO,W
18643747,2,L,2,0.0,1.0,E,5,1,1,1,5,2,21451.0,SUNSET BLVD,3205,0.0,0.0,,4,0.0,5,0.0,HOOK AVE,N. HOOK AVE,,,,,34000400,81061001,8,5.0,,,,3,2,,,,2294,1,2,32,378.0,285.0,,22,16,1958,0000,2000,2009,2,YES,W
18555932,1,L,6,0.0,1.0,W,1,1,1,1,5,2,21301.0,CHESTNUT ST,4001,0.0,0.0,,4,0.0,4,0.0,LITTLE ST,ERVIN ST,,,,,34011146,81003362,2,,,,,3,2,,,,7849,98,2,40,1486.0,1823.0,1350.0,22,28,1745,0005,1800,1805,4,NO,W
18599578,1,L,1,0.0,,N,7,1,4,1,4,2,21380.0,SALEM ROAD,HP05,0.0,2.0,,5,0.0,5,0.0,BROWN ROAD,MARY ROAD,,,,,33575760,79482840,13,6.0,,,,3,2,,,,9950,98,1,21,541.0,,,46,3,110,0066,114,136,3,NO,
18630573,2,L,4,0.0,2.0,S,5,1,1,1,5,2,21439.0,CELANESE RD,HP04,0.0,2.0,,5,0.0,5,0.0,BAGWELL CIR,STONEYPOINTE DR,,,,,34583554,80595636,13,,,,,3,2,,,,1143,98,2,46,161.0,,,22,18,2237,0005,2238,2250,3,NO,N
18526009,1,L,5,0.0,1.0,N,1,1,1,1,5,2,21244.0,WESTMINSTER HWY,HP03,0.0,0.0,,5,0.0,4,0.0,MEADOWOOD LN,MOUNTAIN RD,,,,,34415251,83044282,4,,,,,3,2,,,,4419,41,2,37,183.0,,135.0,22,5,1337,0016,1405,1410,3,NO,S
18591909,1,L,3,0.0,1.0,W,5,1,1,1,5,2,21361.0,TOWN CENTER PL,HP01,0.0,0.0,,5,0.0,4,0.0,MARKET PLACE COMMON,N SPRINGS RD,,,,,34075488,80524998,4,,,,,3,2,,,,9852,41,2,40,,,1834.0,22,5,2320,0001,2325,122,5,NO,W
18593985,2,L,2,0.0,1.0,N,1,1,1,1,5,2,21367.0,SPEARS CREEK CHURCH RD,4001,0.0,1.0,,1,0.0,5,0.0,,EARTH RD,,,2.0,1.0,34062977,80500085,8,,,,,3,2,,,,5204,1,2,40,53.0,20.0,,22,10,1805,0050,1810,1815,4,NO,S
18591937,1,L,5,0.0,1.0,W,1,1,1,1,5,2,21363.0,N SPRINGS RD,HP01,0.0,0.0,,5,0.0,5,0.0,TOWN CENTER PL,RIDGE POINT DR,,,,,34080269,80525952,4,,,,,3,2,,,,6577,41,2,40,1834.0,,,22,5,1143,0000,1146,1229,4,NO,W
18542670,2,L,4,0.0,2.0,W,1,1,1,1,5,2,21278.0,LADSON RD,1802,0.0,3.0,,4,0.0,5,0.0,LIMEHOUSE DR,HOOT OWL AV,,,,,32582899,80081266,13,,,,,3,2,,,,6399,98,3,18,230.0,501.0,,23,8,1438,0015,1438,1448,4,NO,E
18009042,2,L,7,0.0,2.0,N,1,3,1,1,5,2,21414.0,E DEAKLB STREET,2801,0.0,0.0,,4,0.0,4,0.0,LAKESHORE DR,HASTY RD,,,,,0,0,13,,,,,3,2,,,,1526,98,3,28,1.0,51.0,100.0,22,15,1424,0003,1426,1430,2,NO,N
18647184,2,L,2,0.0,2.0,W,4,1,1,1,5,2,21479.0,GREYSTONE BLVD,4001,0.0,0.0,,4,0.0,4,0.0,STONERIDGE DR,CANDI LANE,,,,,34004925,81043313,4,,,,,3,2,,,,7587,31,2,40,3020.0,2262.0,2889.0,22,5,1950,0001,2010,2027,4,NO,W
18660744,1,L,4,0.0,1.0,E,1,2,1,2,5,2,21502.0,EBENEZER RD,4603,0.0,0.0,C,4,0.0,4,0.0,SEDGEWOOD DR,FREDRICK ST,,,,,34565546,81022684,13,,,,,3,2,,,,2107,31,2,46,274.0,388.0,1189.0,22,8,815,0003,817,821,3,NO,E
18682629,1,L,6,0.0,1.0,N,1,1,1,1,5,2,21539.0,BROWNS FERRY RD,HP05,0.0,0.0,,3,0.0,4,0.0,STATE HWY 41-51  S,HESTERVILLE RD,,,,,33354477,79263268,4,,,,,3,2,,,,9353,41,2,22,51.0,41.0,739.0,22,28,1230,0001,1243,1308,3,NO,S
18506477,2,L,2,0.0,1.0,N,1,1,1,1,5,2,21206.0,MILLS AVE,2302,0.0,0.0,,5,0.0,5,0.0,MISSION ST,LADSON ST,,,,,34494591,82242786,13,,,,,3,2,,,,9467,98,2,23,29.0,,,22,8,718,0001,718,736,2,NO,S
18681022,1,L,5,0.0,1.0,N,5,1,1,1,5,2,21524.0,E CHURCH ST,3201,0.0,0.0,,4,0.0,4,0.0,NORTH HENDRIX STREET,MALIBU DRIVE,,,,,33545440,81313270,4,,,,,3,2,,,,4803,1,2,32,23.0,192.0,350.0,22,5,2125,0002,2130,2131,3,NO,S
18629394,1,L,4,0.0,,N,1,1,4,1,5,2,21446.0,BLACK TOM ROAD,HP06,0.0,0.0,,5,0.0,5,0.0,MURPHY LANE,TURBINE WAY,,,,,33092822,80040271,13,6.0,,,,3,2,,,,8730,31,1,8,413.0,,,60,3,834,0012,838,859,4,NO,
18550344,2,L,6,0.0,2.0,W,1,1,1,1,5,2,21294.0,I-20,HP01,0.0,0.0,,2,0.0,4,0.0,SUMTER HWY,BROWNTOWN RD,,,,,34114366,80175802,13,,,,,3,1,4.0,2.0,2.0,1960,98,2,31,20.0,15.0,29.0,23,3,1710,0001,1846,1903,1,NO,E
18682793,2,L,3,2.0,3.0,N,1,1,1,1,5,2,21522.0,,HP06,0.0,0.0,C,3,0.0,5,0.0,,DEEPHOLE LANE,,,,,33130800,79581060,8,,,,,3,2,,,,9175,1,2,8,17.0,402.0,,23,3,1551,0000,1601,1613,2,NO,S
18544342,3,L,2,0.0,1.0,W,1,2,1,2,5,2,21262.0,I-26,HP01,0.0,0.0,,3,0.0,2,0.0,LAKE MURRAY BLVD,BROAD RIVER RD,,,,,34054283,81101452,13,,,,,3,2,,,,1063,98,2,40,26.0,60.0,176.0,22,3,740,0041,746,820,1,NO,E
18590694,1,L,7,0.0,,S,5,1,2,1,4,2,21365.0,COOLEY BRIDGE RD,HP03,0.0,0.0,,5,0.0,5,0.0,KELLEY RD,THORN RIDGE LN,,,,,34363132,82233595,13,,,,,3,2,,,,9268,31,1,23,247.0,,,4,73,41,0003,55,110,3,NO,
18595676,2,L,2,0.0,3.0,N,5,1,1,1,5,2,21374.0,AUGUSTA RD,3205,0.0,0.0,,3,0.0,4,0.0,N. 12TH STREET,13TH STREET,,,,,33591644,81042251,4,16.0,,,,3,2,,,,4670,1,2,32,1.0,35.0,139.0,22,5,2248,0000,2249,2250,2,YES,N
18613542,1,L,5,0.0,1.0,S,1,1,2,1,5,2,21412.0,W FARIS RD,2302,0.0,0.0,,5,0.0,4,0.0,AUGUSTA DR,AUGUSTA ST,,,,,34492471,82234286,13,,,,,3,2,,,,9965,98,2,23,149.0,,201.0,23,8,1619,0001,1623,1630,4,NO,N
18635878,2,L,4,0.0,2.0,N,5,2,1,2,5,2,21453.0,GERVAIS ST,4001,0.0,1.0,C,5,0.0,4,0.0,LINCOLN ST,PARK ST,,,,,33595978,81021694,13,,,,,3,1,4.0,4.0,1.0,9549,44,1,40,1.0,,171.0,29,20,2300,0003,2318,2319,2,NO,S
18682677,2,L,4,0.0,2.0,W,1,1,1,1,5,2,21537.0,ASHEVILLE HWY,HP03,0.0,0.0,,5,0.0,5,0.0,OLD JOHN DODD RD,JOHN DODD RD,,,,,35010232,82011916,13,,,,,3,2,,,,7676,31,2,42,176.0,,,22,3,1815,0002,1831,1855,2,NO,W
